sex,age,Probability,credit_history=Delay,credit_history=None/Paid,credit_history=Other,savings_more_than_500,savings_less_than_500,savings_Unknown,employment=1-4 years,employment=4+ years,employment=Unemployed,sex-age
1,1,1,1,0,0,0,0,1,1,0,0,1-1
1,1,0,0,1,0,1,0,0,0,1,0,1-1
1,1,1,1,0,0,0,0,1,1,0,0,1-1
1,1,0,1,0,0,0,0,1,0,0,1,1-1
0,1,1,0,0,1,1,0,0,1,0,0,0-1
0,0,1,1,0,0,1,0,0,0,1,0,0-0
0,0,0,0,0,1,1,0,0,1,0,0,0-0
1,1,1,1,0,0,1,0,0,1,0,0,1-1
1,1,1,0,0,1,0,0,1,0,1,0,1-1
1,1,0,1,0,0,1,0,0,0,1,0,1-1
1,1,0,1,0,0,1,0,0,1,0,0,1-1
0,1,1,1,0,0,1,0,0,1,0,0,0-1
1,1,1,1,0,0,0,0,1,0,1,0,1-1
0,1,1,1,0,0,1,0,0,1,0,0,0-1
1,0,1,1,0,0,0,1,0,1,0,0,1-0
1,1,0,1,0,0,1,0,0,1,0,0,1-1
0,1,1,1,0,0,0,0,1,1,0,0,0-1
0,1,1,1,0,0,1,0,0,1,0,0,0-1
1,1,1,0,0,1,0,0,1,0,1,0,1-1
1,1,1,0,0,1,1,0,0,0,1,0,1-1
0,1,1,0,0,1,1,0,0,0,1,0,0-1
1,1,0,1,0,0,0,0,1,0,1,0,1-1
1,1,1,0,0,1,1,0,0,0,1,0,1-1
1,1,0,1,0,0,1,0,0,1,0,0,1-1
1,1,1,0,1,0,1,0,0,0,1,0,1-1
1,1,1,1,0,0,0,0,1,1,0,0,1-1
1,0,1,1,0,0,1,0,0,1,0,0,1-0
0,1,0,1,0,0,0,0,1,1,0,0,0-1
1,1,1,1,0,0,0,1,0,0,1,0,1-1
0,0,1,1,0,0,1,0,0,1,0,0,0-0
0,1,1,1,0,0,1,0,0,0,1,0,0-1
1,1,1,1,0,0,1,0,0,0,1,0,1-1
0,1,1,0,0,1,1,0,0,1,0,0,0-1
0,1,1,0,0,1,1,0,0,1,0,0,0-1
1,1,0,1,0,0,1,0,0,1,0,0,1-1
1,1,1,1,0,0,1,0,0,0,1,0,1-1
1,1,0,1,0,0,1,0,0,0,1,0,1-1
1,1,1,0,0,1,1,0,0,0,1,0,1-1
1,1,1,0,0,1,1,0,0,0,1,0,1-1
0,1,0,0,0,1,0,0,1,0,1,0,0-1
1,0,1,0,0,1,0,0,1,0,1,0,1-0
1,1,1,1,0,0,0,1,0,0,1,0,1-1
1,1,0,1,0,0,1,0,0,1,0,0,1-1
0,1,1,0,0,1,0,0,1,0,1,0,0-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
1,1,1,0,0,1,1,0,0,0,1,0,1-1
1,1,1,0,1,0,0,0,1,0,1,0,1-1
1,1,1,1,0,0,1,0,0,0,1,0,1-1
1,0,1,1,0,0,1,0,0,0,1,0,1-0
0,0,1,0,1,0,1,0,0,1,0,0,0-0
1,1,1,0,0,1,1,0,0,0,1,0,1-1
1,1,1,1,0,0,0,0,1,1,0,0,1-1
1,1,0,0,0,1,1,0,0,1,0,0,1-1
1,1,0,1,0,0,1,0,0,0,1,0,1-1
1,1,1,1,0,0,1,0,0,0,1,0,1-1
0,1,1,1,0,0,0,0,1,1,0,0,0-1
1,1,1,1,0,0,0,1,0,0,1,0,1-1
1,1,1,0,1,0,1,0,0,0,1,0,1-1
0,0,1,1,0,0,1,0,0,1,0,0,0-0
1,1,1,1,0,0,1,0,0,0,1,0,1-1
0,1,0,0,0,1,1,0,0,1,0,0,0-1
1,1,1,1,0,0,0,1,0,0,1,0,1-1
1,1,1,0,0,1,0,0,1,0,1,0,1-1
0,1,0,1,0,0,0,0,1,0,1,0,0-1
0,1,1,0,0,1,0,0,1,1,0,0,0-1
0,0,0,0,0,1,0,1,0,1,0,0,0-0
1,1,1,0,0,1,0,1,0,0,1,0,1-1
0,1,0,1,0,0,1,0,0,1,0,0,0-1
0,1,1,0,0,1,1,0,0,0,1,0,0-1
1,0,1,1,0,0,1,0,0,1,0,0,1-0
1,1,1,0,0,1,1,0,0,0,1,0,1-1
0,1,0,1,0,0,0,0,1,1,0,0,0-1
1,1,1,0,0,1,1,0,0,1,0,0,1-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
1,1,0,1,0,0,1,0,0,1,0,0,1-1
1,1,1,0,0,1,1,0,0,0,0,1,1-1
0,1,0,0,0,1,1,0,0,1,0,0,0-1
0,0,1,1,0,0,0,0,1,0,1,0,0-0
1,1,0,0,1,0,1,0,0,1,0,0,1-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
0,0,1,1,0,0,1,0,0,0,1,0,0-0
0,1,1,0,0,1,0,0,1,0,1,0,0-1
1,1,1,0,1,0,0,1,0,1,0,0,1-1
1,1,0,1,0,0,0,1,0,1,0,0,1-1
1,1,1,0,0,1,0,0,1,0,1,0,1-1
0,1,1,1,0,0,1,0,0,1,0,0,0-1
1,1,1,1,0,0,0,1,0,1,0,0,1-1
0,1,1,1,0,0,1,0,0,1,0,0,0-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
1,0,0,1,0,0,1,0,0,1,0,0,1-0
0,0,1,0,0,1,1,0,0,1,0,0,0-0
1,1,1,1,0,0,1,0,0,0,1,0,1-1
0,1,1,0,0,1,1,0,0,0,1,0,0-1
0,1,1,0,0,1,1,0,0,0,1,0,0-1
1,1,1,0,0,1,1,0,0,1,0,0,1-1
1,1,1,0,0,1,0,1,0,0,1,0,1-1
1,1,1,1,0,0,1,0,0,0,1,0,1-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
1,0,1,1,0,0,1,0,0,1,0,0,1-0
0,1,1,0,0,1,0,1,0,0,1,0,0-1
1,1,1,0,1,0,1,0,0,0,1,0,1-1
0,0,0,1,0,0,1,0,0,1,0,0,0-0
1,1,1,0,0,1,1,0,0,0,1,0,1-1
1,1,1,1,0,0,1,0,0,0,1,0,1-1
1,1,1,1,0,0,1,0,0,0,1,0,1-1
1,1,1,0,0,1,0,0,1,1,0,0,1-1
1,1,1,0,0,1,1,0,0,0,1,0,1-1
0,1,1,0,0,1,1,0,0,1,0,0,0-1
1,1,1,1,0,0,0,1,0,0,1,0,1-1
1,1,1,1,0,0,1,0,0,0,0,1,1-1
1,1,1,1,0,0,0,1,0,0,1,0,1-1
1,1,1,1,0,0,0,1,0,1,0,0,1-1
0,1,0,1,0,0,1,0,0,0,0,1,0-1
0,0,1,1,0,0,0,1,0,1,0,0,0-0
0,1,1,1,0,0,1,0,0,0,1,0,0-1
1,1,0,0,0,1,1,0,0,0,1,0,1-1
1,1,0,1,0,0,1,0,0,0,1,0,1-1
0,1,1,1,0,0,1,0,0,1,0,0,0-1
0,1,0,0,1,0,1,0,0,0,0,1,0-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
1,1,0,0,1,0,1,0,0,1,0,0,1-1
0,1,0,1,0,0,0,0,1,0,0,1,0-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
1,1,1,0,0,1,0,1,0,0,1,0,1-1
1,1,1,1,0,0,1,0,0,0,1,0,1-1
1,1,1,0,0,1,1,0,0,0,1,0,1-1
1,1,0,0,1,0,1,0,0,1,0,0,1-1
1,1,0,0,1,0,1,0,0,1,0,0,1-1
1,1,0,1,0,0,0,0,1,1,0,0,1-1
1,1,1,0,0,1,0,1,0,1,0,0,1-1
1,1,0,0,0,1,1,0,0,0,1,0,1-1
1,1,1,0,0,1,1,0,0,1,0,0,1-1
0,1,0,1,0,0,1,0,0,0,1,0,0-1
1,1,1,0,0,1,1,0,0,0,0,1,1-1
1,0,0,1,0,0,1,0,0,0,1,0,1-0
0,1,1,1,0,0,1,0,0,1,0,0,0-1
1,1,0,1,0,0,0,1,0,1,0,0,1-1
1,1,0,1,0,0,1,0,0,0,1,0,1-1
1,1,0,1,0,0,1,0,0,1,0,0,1-1
1,1,1,1,0,0,1,0,0,0,1,0,1-1
1,0,0,1,0,0,1,0,0,1,0,0,1-0
0,1,0,0,0,1,1,0,0,0,1,0,0-1
0,1,1,0,0,1,1,0,0,1,0,0,0-1
0,1,0,1,0,0,1,0,0,1,0,0,0-1
1,1,1,1,0,0,0,0,1,0,1,0,1-1
1,1,0,0,1,0,1,0,0,0,1,0,1-1
1,1,1,0,0,1,0,1,0,0,1,0,1-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
1,1,1,0,1,0,1,0,0,0,1,0,1-1
1,0,0,1,0,0,1,0,0,0,1,0,1-0
1,1,1,0,0,1,1,0,0,0,1,0,1-1
1,1,1,0,0,1,1,0,0,0,1,0,1-1
1,1,1,0,0,1,1,0,0,0,1,0,1-1
1,1,1,0,0,1,1,0,0,0,1,0,1-1
1,0,1,1,0,0,1,0,0,1,0,0,1-0
1,1,1,1,0,0,0,1,0,0,1,0,1-1
1,1,1,0,0,1,0,0,1,1,0,0,1-1
0,1,1,1,0,0,0,0,1,0,1,0,0-1
1,1,0,1,0,0,1,0,0,0,0,1,1-1
1,1,0,0,1,0,1,0,0,0,1,0,1-1
1,1,1,0,0,1,0,0,1,0,1,0,1-1
0,1,1,0,0,1,0,0,1,0,1,0,0-1
1,1,1,1,0,0,1,0,0,0,1,0,1-1
1,0,1,1,0,0,1,0,0,1,0,0,1-0
1,0,1,1,0,0,1,0,0,1,0,0,1-0
0,1,1,1,0,0,1,0,0,1,0,0,0-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
0,0,1,1,0,0,0,0,1,1,0,0,0-0
1,1,1,1,0,0,1,0,0,1,0,0,1-1
1,1,1,0,1,0,0,0,1,1,0,0,1-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
1,1,0,1,0,0,0,1,0,0,1,0,1-1
1,1,0,1,0,0,1,0,0,0,1,0,1-1
1,0,0,1,0,0,1,0,0,0,1,0,1-0
1,0,1,1,0,0,1,0,0,1,0,0,1-0
1,1,0,1,0,0,1,0,0,1,0,0,1-1
1,1,1,1,0,0,0,1,0,0,1,0,1-1
1,1,1,1,0,0,1,0,0,0,1,0,1-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
1,1,1,0,0,1,1,0,0,0,1,0,1-1
1,1,0,1,0,0,1,0,0,0,0,1,1-1
1,0,0,1,0,0,0,0,1,0,0,1,1-0
1,1,0,1,0,0,1,0,0,0,1,0,1-1
0,1,1,0,0,1,1,0,0,1,0,0,0-1
1,1,1,1,0,0,1,0,0,0,1,0,1-1
0,1,0,1,0,0,0,0,1,0,1,0,0-1
1,1,1,1,0,0,1,0,0,0,1,0,1-1
1,0,0,1,0,0,1,0,0,0,1,0,1-0
0,1,1,0,0,1,1,0,0,1,0,0,0-1
0,1,1,1,0,0,0,1,0,1,0,0,0-1
1,1,1,1,0,0,1,0,0,0,1,0,1-1
1,1,1,0,0,1,1,0,0,0,1,0,1-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
0,0,0,1,0,0,1,0,0,0,0,1,0-0
0,1,1,0,0,1,0,1,0,0,1,0,0-1
0,1,1,1,0,0,1,0,0,1,0,0,0-1
0,0,0,1,0,0,1,0,0,1,0,0,0-0
1,1,1,0,1,0,1,0,0,1,0,0,1-1
1,0,1,1,0,0,0,0,1,0,1,0,1-0
1,1,1,0,1,0,0,0,1,1,0,0,1-1
1,1,1,0,0,1,1,0,0,1,0,0,1-1
1,1,0,1,0,0,1,0,0,1,0,0,1-1
0,0,1,1,0,0,1,0,0,1,0,0,0-0
0,1,1,0,0,1,1,0,0,0,0,1,0-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
0,1,1,1,0,0,1,0,0,0,1,0,0-1
1,1,1,0,0,1,1,0,0,0,1,0,1-1
0,1,1,0,0,1,1,0,0,0,1,0,0-1
1,1,1,0,0,1,1,0,0,0,1,0,1-1
1,1,0,1,0,0,1,0,0,0,1,0,1-1
1,1,1,0,0,1,0,0,1,0,1,0,1-1
0,1,1,1,0,0,1,0,0,1,0,0,0-1
1,1,0,1,0,0,1,0,0,0,1,0,1-1
1,1,1,1,0,0,0,0,1,0,1,0,1-1
1,1,1,1,0,0,0,0,1,0,1,0,1-1
0,1,1,0,0,1,0,1,0,0,1,0,0-1
1,1,1,1,0,0,0,0,1,0,0,1,1-1
1,1,0,1,0,0,1,0,0,0,1,0,1-1
1,1,0,1,0,0,1,0,0,1,0,0,1-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
0,1,1,0,0,1,1,0,0,1,0,0,0-1
1,1,1,1,0,0,0,0,1,0,1,0,1-1
0,1,0,1,0,0,1,0,0,1,0,0,0-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
1,0,1,0,0,1,0,1,0,0,1,0,1-0
1,1,1,1,0,0,1,0,0,1,0,0,1-1
1,1,1,1,0,0,0,0,1,0,1,0,1-1
1,1,1,0,0,1,0,0,1,0,1,0,1-1
1,1,1,0,0,1,1,0,0,1,0,0,1-1
0,1,1,1,0,0,1,0,0,1,0,0,0-1
1,1,1,1,0,0,1,0,0,0,1,0,1-1
1,1,1,0,1,0,1,0,0,0,0,1,1-1
0,1,1,1,0,0,1,0,0,1,0,0,0-1
1,1,0,0,1,0,1,0,0,1,0,0,1-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
1,1,0,1,0,0,1,0,0,1,0,0,1-1
0,1,1,0,0,1,1,0,0,0,1,0,0-1
1,1,1,0,0,1,1,0,0,0,1,0,1-1
1,1,1,0,0,1,0,0,1,0,1,0,1-1
0,1,0,1,0,0,1,0,0,1,0,0,0-1
0,0,1,1,0,0,0,0,1,1,0,0,0-0
1,1,1,1,0,0,0,0,1,0,1,0,1-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
1,1,1,0,0,1,0,1,0,0,1,0,1-1
0,1,1,1,0,0,1,0,0,0,0,1,0-1
0,1,0,1,0,0,1,0,0,1,0,0,0-1
1,1,0,0,0,1,0,0,1,0,1,0,1-1
1,1,1,0,0,1,1,0,0,0,1,0,1-1
1,1,0,0,0,1,0,1,0,1,0,0,1-1
1,1,1,1,0,0,0,1,0,1,0,0,1-1
0,0,1,1,0,0,0,0,1,0,1,0,0-0
1,1,0,1,0,0,1,0,0,1,0,0,1-1
0,0,0,1,0,0,1,0,0,1,0,0,0-0
1,0,1,1,0,0,1,0,0,1,0,0,1-0
1,1,1,1,0,0,0,0,1,0,0,1,1-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
0,1,1,1,0,0,1,0,0,1,0,0,0-1
1,1,0,1,0,0,1,0,0,0,1,0,1-1
1,1,1,1,0,0,0,0,1,1,0,0,1-1
1,1,0,1,0,0,1,0,0,0,1,0,1-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
0,1,1,1,0,0,0,0,1,1,0,0,0-1
1,1,1,0,0,1,1,0,0,1,0,0,1-1
0,1,1,0,1,0,1,0,0,0,1,0,0-1
1,1,0,0,0,1,1,0,0,0,0,1,1-1
1,1,0,1,0,0,1,0,0,1,0,0,1-1
1,1,1,1,0,0,1,0,0,0,1,0,1-1
1,1,1,1,0,0,0,1,0,1,0,0,1-1
0,1,1,0,0,1,1,0,0,1,0,0,0-1
1,1,1,0,0,1,1,0,0,0,1,0,1-1
1,1,1,0,0,1,0,0,1,0,1,0,1-1
0,1,1,1,0,0,0,1,0,0,1,0,0-1
1,1,1,1,0,0,1,0,0,0,1,0,1-1
1,1,1,1,0,0,1,0,0,0,1,0,1-1
1,1,1,0,0,1,1,0,0,0,0,1,1-1
0,1,0,0,0,1,1,0,0,1,0,0,0-1
0,0,0,1,0,0,1,0,0,1,0,0,0-0
0,0,0,0,0,1,1,0,0,1,0,0,0-0
1,0,0,1,0,0,1,0,0,0,1,0,1-0
1,1,0,0,0,1,1,0,0,1,0,0,1-1
0,0,1,1,0,0,1,0,0,1,0,0,0-0
0,0,0,1,0,0,0,0,1,1,0,0,0-0
1,1,1,1,0,0,1,0,0,1,0,0,1-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
0,0,1,0,0,1,1,0,0,1,0,0,0-0
0,1,1,1,0,0,1,0,0,0,1,0,0-1
1,1,1,1,0,0,0,1,0,1,0,0,1-1
1,1,1,1,0,0,1,0,0,0,1,0,1-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
0,1,1,0,0,1,1,0,0,1,0,0,0-1
1,0,1,0,0,1,1,0,0,1,0,0,1-0
0,0,1,1,0,0,0,1,0,0,0,1,0-0
1,1,1,0,1,0,1,0,0,1,0,0,1-1
1,1,0,0,0,1,0,1,0,0,1,0,1-1
0,0,1,1,0,0,1,0,0,1,0,0,0-0
0,1,0,1,0,0,1,0,0,1,0,0,0-1
1,1,1,0,0,1,0,0,1,0,0,1,1-1
1,1,0,1,0,0,1,0,0,1,0,0,1-1
1,1,1,1,0,0,0,1,0,0,1,0,1-1
1,0,0,1,0,0,1,0,0,1,0,0,1-0
1,1,1,0,0,1,0,0,1,0,1,0,1-1
1,1,0,0,1,0,1,0,0,1,0,0,1-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
0,0,0,1,0,0,1,0,0,0,1,0,0-0
1,1,1,1,0,0,0,0,1,1,0,0,1-1
1,1,1,1,0,0,0,0,1,0,1,0,1-1
0,1,1,0,1,0,1,0,0,1,0,0,0-1
1,0,1,1,0,0,1,0,0,1,0,0,1-0
1,1,0,1,0,0,1,0,0,0,0,1,1-1
1,1,1,1,0,0,1,0,0,0,1,0,1-1
1,1,1,0,0,1,1,0,0,0,1,0,1-1
0,0,1,1,0,0,1,0,0,1,0,0,0-0
1,1,0,1,0,0,1,0,0,0,1,0,1-1
0,1,1,1,0,0,1,0,0,0,1,0,0-1
1,1,1,1,0,0,0,0,1,1,0,0,1-1
1,1,1,0,0,1,1,0,0,0,1,0,1-1
0,0,1,0,0,1,1,0,0,1,0,0,0-0
1,1,1,0,0,1,0,0,1,0,1,0,1-1
0,1,0,1,0,0,1,0,0,0,1,0,0-1
0,1,0,1,0,0,1,0,0,0,1,0,0-1
1,1,1,0,1,0,1,0,0,0,0,1,1-1
1,1,1,0,1,0,0,0,1,0,1,0,1-1
1,1,0,1,0,0,1,0,0,0,1,0,1-1
0,1,1,0,0,1,1,0,0,1,0,0,0-1
1,1,1,1,0,0,0,0,1,0,1,0,1-1
0,1,0,1,0,0,1,0,0,0,0,1,0-1
0,1,1,1,0,0,0,0,1,0,1,0,0-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
1,1,1,0,1,0,1,0,0,1,0,0,1-1
0,1,1,0,0,1,1,0,0,1,0,0,0-1
0,0,1,1,0,0,0,0,1,1,0,0,0-0
1,1,1,0,0,1,1,0,0,0,0,1,1-1
1,1,1,0,0,1,0,1,0,1,0,0,1-1
0,1,1,1,0,0,1,0,0,0,1,0,0-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
0,0,1,1,0,0,0,1,0,1,0,0,0-0
1,1,1,1,0,0,1,0,0,0,1,0,1-1
0,1,1,0,0,1,1,0,0,0,1,0,0-1
1,1,1,0,0,1,1,0,0,0,0,1,1-1
1,1,1,0,1,0,1,0,0,0,1,0,1-1
0,1,1,1,0,0,1,0,0,0,0,1,0-1
1,1,1,0,0,1,1,0,0,1,0,0,1-1
1,1,0,1,0,0,1,0,0,0,1,0,1-1
0,1,1,0,0,1,0,1,0,1,0,0,0-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
1,1,1,0,0,1,0,0,1,1,0,0,1-1
1,1,0,0,1,0,1,0,0,1,0,0,1-1
1,1,1,0,1,0,1,0,0,1,0,0,1-1
1,1,1,0,1,0,0,0,1,0,1,0,1-1
1,0,0,1,0,0,1,0,0,1,0,0,1-0
1,1,1,0,0,1,0,0,1,0,1,0,1-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
1,1,1,1,0,0,0,1,0,0,1,0,1-1
1,1,0,0,0,1,0,1,0,0,1,0,1-1
0,0,1,1,0,0,1,0,0,0,1,0,0-0
1,1,1,0,0,1,1,0,0,0,1,0,1-1
1,1,0,0,0,1,1,0,0,0,0,1,1-1
1,1,1,1,0,0,0,1,0,1,0,0,1-1
0,1,0,1,0,0,0,0,1,1,0,0,0-1
1,1,1,0,0,1,1,0,0,0,1,0,1-1
1,1,0,1,0,0,1,0,0,1,0,0,1-1
0,0,1,0,1,0,0,0,1,1,0,0,0-0
0,1,1,1,0,0,0,1,0,0,1,0,0-1
0,1,0,1,0,0,0,0,1,1,0,0,0-1
0,0,1,1,0,0,0,1,0,0,1,0,0-0
1,1,1,1,0,0,0,0,1,1,0,0,1-1
1,1,1,0,0,1,1,0,0,0,1,0,1-1
1,1,1,0,1,0,1,0,0,0,1,0,1-1
0,1,0,1,0,0,0,0,1,0,1,0,0-1
1,0,1,1,0,0,1,0,0,1,0,0,1-0
1,1,1,0,0,1,1,0,0,0,1,0,1-1
1,1,1,0,0,1,0,1,0,1,0,0,1-1
1,0,1,1,0,0,1,0,0,0,1,0,1-0
0,1,0,0,0,1,1,0,0,0,0,1,0-1
1,1,1,1,0,0,1,0,0,0,1,0,1-1
1,1,0,1,0,0,1,0,0,1,0,0,1-1
1,1,1,0,0,1,1,0,0,0,0,1,1-1
1,1,1,0,0,1,1,0,0,1,0,0,1-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
1,1,0,1,0,0,0,0,1,1,0,0,1-1
1,0,1,1,0,0,0,1,0,0,1,0,1-0
0,1,1,0,0,1,0,1,0,0,1,0,0-1
1,1,1,0,0,1,1,0,0,0,0,1,1-1
0,1,0,1,0,0,1,0,0,1,0,0,0-1
1,1,1,1,0,0,1,0,0,0,1,0,1-1
0,1,1,1,0,0,1,0,0,1,0,0,0-1
1,1,1,0,1,0,1,0,0,1,0,0,1-1
1,1,0,1,0,0,1,0,0,0,1,0,1-1
0,1,0,0,0,1,1,0,0,1,0,0,0-1
0,1,1,0,0,1,0,0,1,0,1,0,0-1
0,1,0,1,0,0,1,0,0,1,0,0,0-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
0,1,1,1,0,0,0,0,1,0,1,0,0-1
1,1,0,0,1,0,0,1,0,1,0,0,1-1
1,1,1,0,0,1,0,0,1,1,0,0,1-1
0,1,1,1,0,0,1,0,0,1,0,0,0-1
1,1,1,1,0,0,1,0,0,0,1,0,1-1
1,1,1,1,0,0,1,0,0,0,1,0,1-1
1,1,0,1,0,0,1,0,0,0,1,0,1-1
0,1,1,1,0,0,1,0,0,1,0,0,0-1
1,1,1,0,0,1,1,0,0,1,0,0,1-1
1,1,0,1,0,0,1,0,0,0,1,0,1-1
0,1,1,1,0,0,1,0,0,1,0,0,0-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
0,1,1,1,0,0,1,0,0,1,0,0,0-1
1,1,1,1,0,0,0,0,1,0,1,0,1-1
1,1,1,1,0,0,1,0,0,0,1,0,1-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
0,1,0,0,1,0,1,0,0,1,0,0,0-1
1,1,1,0,1,0,0,0,1,0,1,0,1-1
0,1,1,0,1,0,1,0,0,1,0,0,0-1
1,1,1,0,1,0,1,0,0,0,1,0,1-1
1,0,0,1,0,0,1,0,0,1,0,0,1-0
0,0,0,1,0,0,1,0,0,1,0,0,0-0
1,1,0,1,0,0,1,0,0,1,0,0,1-1
1,1,1,1,0,0,0,0,1,0,0,1,1-1
1,1,0,0,0,1,1,0,0,1,0,0,1-1
0,1,0,1,0,0,1,0,0,1,0,0,0-1
1,0,1,1,0,0,0,1,0,1,0,0,1-0
1,1,1,1,0,0,1,0,0,0,1,0,1-1
1,1,1,1,0,0,1,0,0,0,1,0,1-1
1,1,1,0,0,1,1,0,0,0,1,0,1-1
0,0,1,0,0,1,1,0,0,1,0,0,0-0
1,1,1,1,0,0,1,0,0,1,0,0,1-1
0,1,1,1,0,0,0,1,0,0,1,0,0-1
0,1,1,0,1,0,0,1,0,0,1,0,0-1
1,1,1,0,0,1,0,1,0,1,0,0,1-1
1,1,0,0,1,0,1,0,0,0,0,1,1-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
0,1,1,1,0,0,1,0,0,0,1,0,0-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
1,1,1,1,0,0,1,0,0,1,0,0,1-1
1,1,1,0,0,1,1,0,0,0,1,0,1-1
0,1,0,1,0,0,1,0,0,0,1,0,0-1
0,1,1,0,0,1,1,0,0,1,0,0,0-1
